"sample","response","n_spots","mean_tpex","mean_cxcl13","mean_tls","mean_spp1","combined_score","sd_tpex","sd_cxcl13","sd_tls"
"HCC1R","Responder",3006,0.0312966978657403,-0.477988068813796,-0.293388479724869,-0.124203026292453,-0.740079850672924,0.128447635905428,0.0557234567673412,0.135062309082475
"HCC2R","Responder",2766,0.00926736865305608,-0.486717797719939,-0.434518864137858,-0.263967924093799,-0.911969293204741,0.103055847477672,0.0478069168548015,0.107375465259799
"HCC3R","Responder",2170,0.00224665324951734,-0.473021674806624,-0.46473350787673,-0.240390591665444,-0.935508529433836,0.0960211897537604,0.0623457944619599,0.0705365392146275
"HCC4R","Responder",3002,0.0595941339227835,-0.459420168667865,-0.369273110748723,0.060874359936205,-0.769099145493805,0.14945237782981,0.0787076345483162,0.133832688870093
"HCC5NR","NonResponder",1320,0.0184094166885294,-0.489880573826713,-0.493841135999258,-0.299680387699926,-0.965312293137441,0.087457418738685,0.0363923193692991,0.0254808438509237
"HCC6NR","NonResponder",2575,0.0227210323257128,-0.484376161345201,-0.487511526856219,-0.0571819854428625,-0.949166655875707,0.0790214422366088,0.0425149216801549,0.0358344768326546
"HCC7NR","NonResponder",2453,0.00797587226755092,-0.492140084047381,-0.492647908800892,-0.202002698785628,-0.976812120580721,0.0579879640317592,0.0320153453712919,0.0276448295918884
