"variable","method","mean_R","mean_NR","median_R","median_NR","wilcox_p","cohens_d","d_CI_lower","d_CI_upper","n_R","n_NR","direction"
"tpex_score","log2_count_plus1",-0.00400152573860609,-0.00129571092179546,0.0274324725946756,0.032724623232922,0.754578754578755,-0.0298115503943308,-1.20656898979038,1.14694588900172,6,8,"NR>R"
"cxcl13_score","log2_count_plus1",-0.195864027010436,-0.273768416206262,-0.193255064456722,-0.270142725598527,0.0426240426240426,1.53699534792711,0.200907814627462,2.87308288122676,6,8,"R>NR"
"combined_score","log2_count_plus1",-0.199865552749042,-0.275064127128057,-0.237636065560637,-0.235817738444184,0.413586413586414,0.855848808285137,-0.372481086408889,2.08417870297916,6,8,"R>NR"
"tpex_score","NanoString_normalized",-0.00472602023903419,-0.00608725409508137,0.0274324725946756,0.032724623232922,0.851814851814852,0.0139553477646609,-1.16275209749746,1.19066279302678,6,8,"R>NR"
"cxcl13_score","NanoString_normalized",-0.195864027010436,-0.286630985267035,-0.193255064456722,-0.27152394106814,0.01998001998002,1.64375767329188,0.286295207697464,3.00122013888629,6,8,"R>NR"
"combined_score","NanoString_normalized",-0.20059004724947,-0.292718239362116,-0.237636065560637,-0.245371145442342,0.413586413586414,0.852984127308087,-0.37500787966783,2.080976134284,6,8,"R>NR"
