"variable","mean_responder","mean_nonresponder","median_responder","median_nonresponder","mann_whitney_p","mann_whitney_CI_lower","mann_whitney_CI_upper","cohens_d","cohens_d_CI_lower","cohens_d_CI_upper","n_responder","n_nonresponder","direction","cohort","label_type"
"tpex_score",-0.0908674448404912,0.019290337086234,-0.0976288584611975,0.022169697269489,0.00865800865800866,-0.171401600648332,-0.0401754952350485,-2.61727161250342,-4.4799974455977,-0.754545779409144,6,5,"NonResponder > Responder","GSE202069","FAD_inferred"
"cxcl13_score",0.155467953875034,0.0353996092403172,0.181409033444432,0.0582714630502241,0.051948051948052,-0.019891966440639,0.24718997816343,1.68770587980152,0.0943101170308391,3.28110164257221,6,5,"Responder > NonResponder","GSE202069","FAD_inferred"
"combined_score",0.0646005090345423,0.0546899463265512,0.0910106199860199,0.0470013258179317,0.662337662337662,-0.183743032081862,0.126979682916526,0.103507178323809,-1.26720635892207,1.47422071556968,6,5,"Responder > NonResponder","GSE202069","FAD_inferred"
"tpex_score",-0.00400152573860595,-0.00129571092179549,0.0274324725946756,0.0327246232329219,0.754578754578755,-0.0888886983756845,0.11201033343621,-0.029811550394329,-1.20656898979038,1.14694588900172,6,8,"NonResponder > Responder","GSE140901","clinical_RECIST"
"cxcl13_score",-0.195864027010436,-0.273768416206262,-0.193255064456722,-0.270142725598527,0.0426240426240426,0.00253222836095801,0.144337016574585,1.53699534792712,0.200907814627466,2.87308288122676,6,8,"Responder > NonResponder","GSE140901","clinical_RECIST"
"combined_score",-0.199865552749042,-0.275064127128057,-0.237636065560637,-0.235817738444184,0.413586413586414,-0.0291092805032608,0.186814966129715,0.855848808285141,-0.372481086408886,2.08417870297917,6,8,"Responder > NonResponder","GSE140901","clinical_RECIST"
