"variable","level","mean_R","mean_NR","median_R","median_NR","diff_means","wilcox_p","wilcox_CI_lower","wilcox_CI_upper","cohens_d","d_CI_lower","d_CI_upper","n_R","n_NR","direction"
"mean_tpex","patient",0.0256012134227743,0.0163687737605977,0.0202820332593982,0.0184094166885294,0.00923243966217659,0.859683795198666,-0.0204743790761955,0.0516182616552325,0.448881364618017,-1.5385055864213,2.43626831565733,4,3,"R > NR"
"mean_cxcl13","patient",-0.474286927502056,-0.488798939739765,-0.47550487181021,-0.489880573826713,0.0145120122377089,0.111611768298292,-0.00234163637473789,0.0327199153795157,1.57824966004997,-0.66457785206876,3.8210771721687,4,3,"R > NR"
"mean_tls","patient",-0.390478490622045,-0.491333523885456,-0.401895987443291,-0.492647908800892,0.100855033263411,0.0518299272179097,0.0227780189794891,0.200452656274389,1.71200985389451,-0.576658260082195,4.00067796787121,4,3,"R > NR"
"mean_spp1","patient",-0.141921795528873,-0.186288357309472,-0.182296808978949,-0.202002698785628,0.0443665617805994,0.859683795198666,-0.206785938650937,0.360554747636131,0.320514193477927,-1.65510989028384,2.2961382772397,4,3,"R > NR"
"combined_score","patient",-0.839164204701327,-0.963763689864623,-0.840534219349273,-0.965312293137441,0.124599485163297,0.0518299272179097,0.0136581264418709,0.236732269907797,1.6168023007849,-0.63894905069785,3.87255365226765,4,3,"R > NR"
