dataset,variable,treatment,label_source,mean_R,mean_NR,median_R,median_NR,wilcox_p,wilcox_CI_lower,wilcox_CI_upper,cohens_d,d_CI_lower,d_CI_upper,n_R,n_NR,direction
GSE279750,tpex_score,anti-PD-L1,GEO_clinical_metadata,-0.0106403953525444,-0.0356114804628886,-0.0209375443384893,-0.0391698379098002,0.594032340599042,-0.0606253587150149,0.100967578554219,0.504829843611938,-1.00627924444952,2.0159389316734,6,4,R > NR
GSE279750,cxcl13_associated_exhaustion_score,anti-PD-L1,GEO_clinical_metadata,0.187782481489915,0.0974742273376529,0.16314923303041,0.145028153269712,0.594032340599042,-0.0623857855838137,0.266432270242806,0.864924466614996,-0.688972246277833,2.41882117950782,6,4,R > NR
