"variable","analysis","HR","HR_lower","HR_upper","coef","se","z","p","n","n_events","concordance","ph_test_p"
"tpex_score","continuous_univariate",0.250911971986168,0.086778880095254,0.72548548237638,-1.38265311058167,0.541713471058821,-2.552369812549,0.0106992886654045,422,164,0.574308023554437,0.555589368843511
"cxcl13_score","continuous_univariate",0.960384342159434,0.491870506396757,1.87516444403565,-0.0404217182254244,0.341393047303762,-0.118402288929623,0.905748912234281,422,164,0.511284339412177,0.191985424954126
"combined_score","continuous_univariate",0.598999002781151,0.315426414464859,1.13750716135026,-0.512495345674165,0.327217499019686,-1.56622230537656,0.117296582570681,422,164,0.54180393784534,0.134680444409493
