"features.plot","id","pct.exp","avg.exp","avg.exp.scaled"
"TCF7","Tn_Tcm",20.8947635993899,0.94036284799506,1.59812035905418
"SLAMF6","Tn_Tcm",6.84629723775631,0.280563483857486,0.72070101032639
"IL7R","Tn_Tcm",79.3255380443993,14.3444563772839,1.62185260980114
"SELL","Tn_Tcm",9.94746653109642,0.652141419649795,0.925349691248184
"CCR7","Tn_Tcm",21.8607015760041,1.97756563418533,1.62329620443872
"PDCD1","Tn_Tcm",7.81223521437045,0.356882686487436,0.233592102695145
"TOX","Tn_Tcm",6.30401626842908,0.283229427239942,-0.215843841904199
"HAVCR2","Tn_Tcm",3.30452465683782,0.155471015858049,-0.999241648142408
"LAG3","Tn_Tcm",16.4717844433147,0.815055737882484,0.573872872836098
"TIGIT","Tn_Tcm",10.6931028639214,0.571519569052255,-0.601647126355916
"GZMB","Tn_Tcm",17.2343670564311,1.36410519991466,-0.6645091875818
"PRF1","Tn_Tcm",35.6210811726826,2.4902563960183,0.224600707978597
"IFNG","Tn_Tcm",16.9632265717675,1.69075681919862,-0.00363609799046356
"FOXP3","Tn_Tcm",0.220301643789188,0.00953030743454303,-0.458363816591386
"IL2RA","Tn_Tcm",3.57566514150144,0.156985479137445,-0.299668154078936
"NKG7","Tn_Tcm",62.2945263514658,8.5659366940858,0.0130280066885414
"GNLY","Tn_Tcm",11.3879003558719,1.20819918389627,-0.715074188695951
"TCF7","Tcm",14.99700059988,0.712215253055475,0.920926625833156
"SLAMF6","Tcm",8.41831633673265,0.37088568604635,1.35968817363747
"IL7R","Tcm",34.9930013997201,5.24531365716797,0.375676949169482
"SELL","Tcm",3.55928814237153,0.232847001574457,-0.502370826599934
"CCR7","Tcm",4.69906018796241,0.38837761527462,-0.447806694076674
"PDCD1","Tcm",9.27814437112577,0.539186449156753,1.00696575211732
"TOX","Tcm",12.0575884823035,0.607438953827027,1.15070068230229
"HAVCR2","Tcm",6.91861627674465,0.38963112953767,-0.230900729314478
"LAG3","Tcm",24.2351529694061,1.29662167872459,1.57395488307727
"TIGIT","Tcm",25.1149770045991,1.49560918307001,0.501168529664914
"GZMB","Tcm",28.0943811237752,2.61155461318775,-0.0555871728857355
"PRF1","Tcm",49.9700059988002,3.93734181619355,0.771122974082062
"IFNG","Tcm",21.5156968606279,2.32866727440629,0.37609479130826
"FOXP3","Tcm",0.399920015996801,0.0185248543143722,-0.410533071009697
"IL2RA","Tcm",1.03979204159168,0.0497205015271225,-0.602869654195967
"NKG7","Tcm",83.0433913217357,17.3329824183118,0.756146227251135
"GNLY","Tcm",9.35812837432514,0.885142675274168,-0.89376865354847
"TCF7","Terminal_Tex",10.2163887903512,0.466004512734946,0.0804514241820815
"SLAMF6","Terminal_Tex",10.2873359347286,0.455082809512959,1.91850740048663
"IL7R","Terminal_Tex",31.4650585313941,3.7706167220855,0.00226937579564445
"SELL","Terminal_Tex",5.95956012770486,0.338667483839331,-0.100757517065805
"CCR7","Terminal_Tex",1.4544164597375,0.0821217050757681,-1.12429992546019
"PDCD1","Terminal_Tex",4.43419652358993,0.234659956919887,-0.345495097423762
"TOX","Terminal_Tex",6.952820148989,0.313841052309355,-0.0728267271967358
"HAVCR2","Terminal_Tex",18.2334161050018,1.17264032330976,1.62990652925391
"LAG3","Terminal_Tex",15.5374246186591,0.772524636445119,0.473103973584592
"TIGIT","Terminal_Tex",15.7857396239801,0.854910461118373,-0.206309670828989
