"variable","level","mean_R","mean_NR","median_R","median_NR","diff_means","wilcox_p","wilcox_CI_lower","wilcox_CI_upper","cohens_d","d_CI_lower","d_CI_upper","n_R","n_NR","direction"
"tpex_score","spot",0.027731016362063,0.0161266387743969,-4.09936864211868e-05,-4.09936864211868e-05,0.011604377587666,6.4126479273186e-17,2.42273546939841e-05,7.84961699623417e-07,0.10628696735642,0.0753427577101443,0.137231177002695,10944,6348,"R > NR"
"cxcl13_score","spot",-0.474116405703484,-0.488520888324414,-0.500081980652566,-0.500081980652566,0.01440448262093,1.54964331272992e-52,2.83071194798681e-05,5.01837912260557e-05,0.260665311131514,0.229619580338899,0.291711041924128,10944,6348,"R > NR"
"tls_score","spot",-0.383848185199054,-0.490812508106864,-0.398365763008308,-0.50010931351115,0.10696432290781,0,0.0955537043345118,0.100624326805835,0.985083804669425,0.952463390196393,1.01770421914246,10944,6348,"R > NR"
"spp1_score","spot",-0.131797544815798,-0.163568737303154,-0.167502391037027,-0.175766270437674,0.031771192487356,9.28798823447157e-66,0.00736847679356833,0.00944725097028383,0.156552916337469,0.125584999985893,0.187520832689046,10944,6348,"R > NR"
"combined_score","spot",-0.830233574540474,-0.963206757656881,-0.889985057125753,-1.00023228785014,0.132973183116406,0,0.0975836475951809,0.105212529160964,0.731586740018353,0.699715945498048,0.763457534538658,10944,6348,"R > NR"
