"sample","response","n_spots","mean_tpex","mean_cxcl13","mean_tls","mean_spp1"
"HCC1R","Responder",3006,0.0312966978657403,-0.477988068813796,-0.293388479724869,-0.124203026292453
"HCC2R","Responder",2766,0.00926736865305608,-0.486717797719939,-0.434518864137858,-0.263967924093799
"HCC3R","Responder",2170,0.00224665324951733,-0.473021674806624,-0.46473350787673,-0.240390591665444
"HCC4R","Responder",3002,0.0595941339227835,-0.459420168667865,-0.369273110748723,0.060874359936205
"HCC5NR","NonResponder",1320,0.0184094166885294,-0.489880573826713,-0.493841135999258,-0.299680387699926
"HCC6NR","NonResponder",2575,0.0227210323257128,-0.484376161345201,-0.487511526856219,-0.0571819854428625
"HCC7NR","NonResponder",2453,0.00797587226755091,-0.492140084047381,-0.492647908800892,-0.202002698785628
