"","Lymph","Normal","PVTT","Tumor"
"0",117,5168,11,605
"1",8,4696,0,297
"2",0,2582,1,236
"3",11,2535,3,182
"4",30,1376,51,1271
"5",184,242,80,1532
"6",39,346,97,599
"7",44,12,138,722
"8",1,174,2,399
"9",3,250,16,171
"10",27,18,11,223
"11",3,46,1,199
"12",0,26,0,100
"13",0,0,68,38
"14",0,102,0,0
"15",0,36,0,0
