"variable","model","HR","HR_lower","HR_upper","p","n","n_events","ph_test_p","concordance"
"tpex_score","score + age + sex + stage",0.489217180887074,0.150794235068231,1.58715251923791,0.233787884562186,390,143,0.331585083295362,0.62524211184005
"cxcl13_score","score + age + sex + stage",1.18521394277692,0.588688542467906,2.38620592862887,0.634127686763468,390,143,0.207167601753584,0.618525460793502
"combined_score","score + age + sex + stage",0.92399256253166,0.462201563975031,1.84716435892446,0.823013249593993,390,143,0.057855384105991,0.621930646672915
"tpex_score","score + age + sex + stage + grade",0.494418584454848,0.150979129793979,1.61909620878,0.24450570437145,386,139,0.373582111194861,0.628312863606981
"cxcl13_score","score + age + sex + stage + grade",1.09856280018253,0.54013730272705,2.23432119916875,0.795234255304757,386,139,0.204855619264696,0.625888817065288
"combined_score","score + age + sex + stage + grade",0.859071363968325,0.424531862041443,1.73839392134566,0.672743417059653,386,139,0.0649753561742542,0.627601809954751
